Date,Close/Last,Volume,Open,High,Low,Day
2024-08-23,175.87,5283617,176.63,176.68,173.67,1641
2024-08-22,175.74,5265989,175.83,176.08,174.7,1640
2024-08-21,175.21,4020749,175.94,176.82,174.62,1639
2024-08-20,175.85,5330053,173.53,176.03,172.5,1638
2024-08-19,173.82,3521653,172.66,173.98,172.44,1637
2024-08-16,172.62,4614804,172.52,172.78,171.11,1634
2024-08-15,172.52,4472137,173.71,174.3,171.83,1633
2024-08-14,173.71,3555959,172.23,174.34,171.93,1632
2024-08-13,172.37,3894698,171.62,172.42,170.22,1631
2024-08-12,171.42,3802411,172.24,172.87,170.71,1630
2024-08-09,172.39,3223163,172.09,172.78,170.39,1627
2024-08-08,172.37,5112483,170.21,173,169.81,1626
2024-08-07,171.79,5429077,171.62,174.39,171.33,1625
2024-08-06,172.49,7287051,173.28,176.21,172.36,1624
2024-08-05,174.04,7502535,179.52,180.91,173.16,1623
2024-08-02,178.04,6856083,178.84,179.95,173.84,1620
2024-08-01,174.96,5994458,172.53,175.56,172.5,1619
2024-07-31,172.67,6245571,173.92,174.69,172.26,1618
2024-07-30,173.18,4994644,172.69,173.45,171.55,1617
2024-07-29,173.21,4152662,172.29,173.49,170.85,1616
2024-07-26,172.75,5746255,170.73,172.76,170.73,1613
2024-07-25,171.02,6270889,169.49,173.49,168.86,1612
2024-07-24,168.17,5867046,166.28,168.67,164.95,1611
2024-07-23,166.28,3344293,167.79,168.36,166.18,1610
2024-07-22,167.66,5308367,169.26,169.71,167.35,1609
2024-07-19,169.36,5332848,170.28,170.485,168.47,1606
2024-07-18,170.37,6228568,168.71,172.67,168.39,1605
2024-07-17,169.89,7670981,166.04,170.07,165.89,1604
2024-07-16,164.76,4461676,163.41,165.04,162.84,1603
2024-07-15,163.86,4551803,166.01,166.2981,163.65,1602
2024-07-12,166.38,6677035,164.96,168.03,164.96,1599
2024-07-11,163.95,10259330,159.1,164.89,158.03,1598
2024-07-10,163.59,7372266,161.84,163.77,160.66,1597
2024-07-09,161.9,5801833,162.19,162.56,161.5,1596
2024-07-08,162.12,5268800,163.06,163.75,161.92,1595
2024-07-05,164.39,4208217,162.64,164.52,162.47,1592
2024-07-03,162.6,2879575,162.92,164.13,161.96,1590
2024-07-02,163.58,4650803,163.5,164.47,162.32,1589
2024-07-01,162.89,4508019,165.04,166.06,162.58,1588
2024-06-28,164.93,8756033,165.3,166.22,164.62,1585
2024-06-27,166.26,4326460,166.63,167.25,165.27,1584
2024-06-26,166.74,4778280,165.89,167.01,164.85,1583
2024-06-25,167.35,4220902,168.08,168.96,167.25,1582
2024-06-24,168.08,4476929,167.5,169.6099,167.09,1581
2024-06-21,167.28,10899240,167.21,169.07,166.45,1578
2024-06-20,166.68,4942417,165.73,167.64,165.73,1577
2024-06-18,166.48,3519509,166.1,167.07,165.25,1575
2024-06-17,166.14,5412239,163.49,166.41,162.79,1574
2024-06-14,163.81,3603340,163.13,164.39,162.53,1571
2024-06-13,163.33,5432649,162.08,163.56,161.54,1570
2024-06-12,163.83,6281102,164.88,165.3275,162.44,1569
2024-06-11,165.07,8284512,164.87,165.46,163.51,1568
2024-06-10,165.9,9432639,170.11,170.37,165.62,1567
2024-06-07,171.04,3521165,171.5,172.51,170.75,1564
2024-06-06,173.2,5536694,174,174.4,172.68,1563
2024-06-05,173.49,5370688,173.84,173.97,171.96,1562
2024-06-04,173.89,4619065,171.21,174.39,170.82,1561
2024-06-03,171.23,5032377,172.72,172.9,171.03,1560
2024-05-31,172.9,8155606,169.89,172.97,169.52,1557
2024-05-30,170.48,3903880,171.35,171.71,170.4,1556
2024-05-29,171.15,5352113,172.43,173.18,170.72,1555
2024-05-28,173.38,6178117,176.23,176.275,171.9,1554
2024-05-24,177.99,3447399,179.37,179.42,177.87,1550
2024-05-23,179.27,4009026,181.33,181.89,179.04,1549
2024-05-22,182.09,4046993,180.45,182.13,179.98,1548
2024-05-21,181.08,3288063,181.5,181.58,179.8,1547
2024-05-20,180.31,3221153,182.09,182.13,179.91,1546
2024-05-17,182.19,4449107,182.59,182.96,181.83,1543
2024-05-16,183.11,5984739,179.63,183.41,179.46,1542
2024-05-15,179.46,4785118,179.24,180.4,179,1541
